vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Home Improvement & Maintenance,BE,0.22,bing,2023
Industrial,BE,0.9,facebook,2022
Business,BE,0.42,adwords,2023
Health,BE,0.61,adwords,2022
Home Improvement & Maintenance,BE,1.14,adwords,2023
Beauty,BE,0.68,adwords,2022
Transport & Logistics,BE,0.74,adwords,2023
Environment,BE,0.5,bing,2021
Home Improvement & Maintenance,BE,0.83,bing,2020
Home Improvement & Maintenance,BE,0.9,bing,2022
Home Improvement & Maintenance,BE,1.05,adwords,2023
Home Improvement & Maintenance,BE,0.42,adwords,2023
Health,BE,1.04,bing,2022
Business,BE,0.11,facebook,2021
Home Improvement & Maintenance,BE,0.9,bing,2021
Health,BE,0.19,adwords,2023
Others,BE,0.52,adwords,2023
Accounting,BE,0.95,adwords,2023
Restaurant,BE,0.16,adwords,2023
Restaurant,BE,0.94,adwords,2021
Real Estate,BE,0.32,adwords,2021
Home Improvement & Maintenance,BE,0.5,bing,2021
Electronics,BE,0.53,bing,2023
Home Improvement & Maintenance,BE,0.42,adwords,2022
Home Improvement & Maintenance,BE,0.77,adwords,2021
Home Improvement & Maintenance,BE,0.3,adwords,2021
Home Improvement & Maintenance,BE,1.75,bing,2022
Transport & Logistics,BE,0.37,adwords,2022
Restaurant,BE,0.48,facebook,2022
Home Improvement & Maintenance,BE,0.78,bing,2021
Home Improvement & Maintenance,BE,0.78,bing,2021
Cars & Motorbikes,BE,0.78,facebook,2021
Transport & Logistics,BE,0.53,adwords,2023
Environment,BE,2.55,bing,2021
Home Improvement & Maintenance,BE,0.96,facebook,2021
School,BE,0.71,facebook,2021
Home Improvement & Maintenance,BE,0.91,adwords,2023
Health,BE,0.65,bing,2021
Home Improvement & Maintenance,BE,0.66,bing,2022
Food & Drinks,BE,1.01,adwords,2022
Home Improvement & Maintenance,BE,0.52,bing,2023
Home Improvement & Maintenance,BE,0.71,bing,2022
Interior Design & Furniture,BE,0.7,bing,2023
Business,BE,0.51,bing,2022
Beauty,BE,0.56,facebook,2021
Flowers & Plants,BE,0.63,bing,2022
Cars & Motorbikes,BE,0.6,bing,2022
Electronics,BE,0.7,bing,2022
Home Improvement & Maintenance,BE,0.72,bing,2021
Home Improvement & Maintenance,BE,1.22,bing,2022
Home Improvement & Maintenance,BE,0.57,adwords,2021
Transport & Logistics,BE,0.9,adwords,2022
Legal & Law,BE,0.54,adwords,2021
Home Improvement & Maintenance,BE,0.3,bing,2022
Animals & Pets,BE,1.05,bing,2022
Health,BE,0.7,adwords,2021
Home Improvement & Maintenance,BE,0.78,bing,2021
Health,BE,0.72,bing,2021
Industrial,BE,2.17,adwords,2021
Home Improvement & Maintenance,BE,1.71,adwords,2023
Accommodation & Hotels,BE,0.44,bing,2023
Home Improvement & Maintenance,BE,0.31,adwords,2023
Food & Drinks,BE,1.09,adwords,2023
Home Improvement & Maintenance,BE,0.55,bing,2022
Accommodation & Hotels,BE,0.58,adwords,2021
Home Improvement & Maintenance,BE,0.83,facebook,2021
Home Improvement & Maintenance,BE,2.57,bing,2023
Home Improvement & Maintenance,BE,1.06,bing,2022
Home Improvement & Maintenance,BE,0.8,bing,2021
Environment,BE,0.73,adwords,2021
Fashion & Clothing,BE,0.64,bing,2021
Beauty,BE,0.64,facebook,2021
Home Improvement & Maintenance,BE,0.9,adwords,2021
Home Improvement & Maintenance,BE,0.39,bing,2023
Fashion & Clothing,BE,1.02,bing,2022
Home Improvement & Maintenance,BE,0.21,bing,2021
Home Improvement & Maintenance,BE,1.3,adwords,2021
Health,BE,0.88,bing,2021
Industrial,BE,0.68,adwords,2023
Health,BE,0.4,bing,2023
Animals & Pets,BE,0.26,bing,2022
Interior Design & Furniture,BE,0.9,bing,2023
Home Improvement & Maintenance,BE,0.76,bing,2021
Electronics,BE,0.64,bing,2022
Accommodation & Hotels,BE,1.76,adwords,2021
Legal & Law,BE,0.83,bing,2022
School,BE,0.39,adwords,2022
Industrial,BE,0.49,bing,2022
Fashion & Clothing,BE,0.54,bing,2021
Home Improvement & Maintenance,BE,0.69,adwords,2022
Home Improvement & Maintenance,BE,1.11,bing,2021
Industrial,BE,0.51,bing,2023
Cars & Motorbikes,BE,0.39,bing,2021
Fashion & Clothing,BE,0.46,bing,2021
Cars & Motorbikes,BE,2.4,bing,2021
Health,BE,0.46,bing,2022
Home Improvement & Maintenance,BE,0.75,adwords,2021
Home Improvement & Maintenance,BE,0.73,bing,2023
Home Improvement & Maintenance,BE,0.7,bing,2023
Health,BE,0.78,facebook,2021
Home Improvement & Maintenance,BE,0.69,adwords,2022
Industrial,BE,0.89,adwords,2022
Home Improvement & Maintenance,BE,1.36,adwords,2023
Environment,BE,2.08,bing,2021
Food & Drinks,BE,1.32,bing,2023
Agriculture,BE,1.81,bing,2021
Home Improvement & Maintenance,BE,0.9,adwords,2021
Food & Drinks,BE,0.14,bing,2021
Interior Design & Furniture,BE,0.66,adwords,2021
Home Improvement & Maintenance,BE,0.43,bing,2023
Home Improvement & Maintenance,BE,0.65,adwords,2023
Cars & Motorbikes,BE,0.72,adwords,2023
Home Improvement & Maintenance,BE,1.16,adwords,2021
Cars & Motorbikes,BE,0.6,bing,2022
Flowers & Plants,BE,0.78,bing,2023
Industrial,BE,2.42,adwords,2020
Home Improvement & Maintenance,BE,1.32,bing,2021
Home Improvement & Maintenance,BE,0.83,bing,2024
Home Improvement & Maintenance,BE,1.15,bing,2021
Home Improvement & Maintenance,BE,0.88,adwords,2023
Health,BE,1.15,adwords,2022
Fashion & Clothing,BE,0.73,facebook,2023
Health,BE,0.73,bing,2021
Food & Drinks,BE,2.44,bing,2021
Restaurant,BE,0.88,bing,2023
Home Improvement & Maintenance,BE,1.15,bing,2021
Business,BE,1.06,adwords,2021
Interior Design & Furniture,BE,0.75,bing,2023
Environment,BE,1.34,bing,2021
Home Improvement & Maintenance,BE,1.42,bing,2022
Real Estate,BE,0.58,adwords,2020
Home Improvement & Maintenance,BE,0.58,adwords,2021
Home Improvement & Maintenance,BE,0.76,adwords,2021
Industrial,BE,0.15,adwords,2023
Environment,BE,0.39,bing,2023
