campaign_id,vertical,partner_name,internal_state_id,ads_aggregate_state,goal_id,state_id,advertiser_country,max_goals,cost_per_goal,input_amount,advertising_platform_id
341,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,165,0.58,95.7,#N/A
342,Pharmacy,Partner B,enabled,null,clicks,enabled,ES,165,0.38781,63.98865,#N/A
343,Agriculture,Partner B,enabled,null,clicks,paused,ES,164,0.15,24.6,#N/A
344,Health,Partner B,enabled,null,clicks,enabled,ES,163,0.58893,95.99559,#N/A
345,Accommodation & Hotels,Partner B,enabled,null,clicks,paused,ES,163,0.31,50.53,#N/A
346,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,162,0.21,34.02,#N/A
347,Food & Drinks,Partner B,enabled,null,clicks,paused,ES,162,0.15,24.3,#N/A
348,Electronics,Partner B,enabled,null,clicks,enabled,ES,161,0.3963,63.8043,#N/A
349,Industrial,Partner B,enabled,null,clicks,enabled,ES,161,0.39704,63.92344,#N/A
350,Health,Partner B,enabled,null,clicks,enabled,ES,159,0.40273,64.03407,#N/A
351,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,159,0.6015,95.6385,#N/A
352,Food & Drinks,Partner B,enabled,null,clicks,paused,ES,158,0.2,31.6,#N/A
353,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,157,0.11,17.27,#N/A
354,Interior Design & Furniture,Partner B,enabled,null,clicks,enabled,ES,157,0.40597,63.73729,#N/A
355,Health,Partner B,enabled,null,clicks,paused,ES,157,0.28,43.96,#N/A
356,Industrial,Partner B,enabled,null,clicks,paused,ES,156,0.23,35.88,#N/A
357,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,156,0.40875,63.765,#N/A
358,Business,Partner B,enabled,null,clicks,paused,ES,156,0.23,35.88,#N/A
359,Business,Partner B,enabled,null,clicks,paused,ES,155,0.23,35.65,#N/A
360,Health,Partner B,enabled,null,clicks,paused,ES,154,0.21,32.34,#N/A
361,Travel Agency,Partner B,enabled,null,clicks,enabled,ES,154,0.41615,64.0871,#N/A
362,Fitness,Partner B,enabled,null,clicks,enabled,ES,152,0.42122,64.02544,#N/A
